Region,Country,Year,Gender,SuicideCount
ASIA,UZBEKISTAN,1998,Female,368
ASIA,UZBEKISTAN,1999,Male,1375
ASIA,UZBEKISTAN,1999,Female,420
ASIA,UZBEKISTAN,2000,Male,1455
ASIA,UZBEKISTAN,2000,Female,464
ASIA,UZBEKISTAN,2001,Male,1462
ASIA,UZBEKISTAN,2001,Female,452
ASIA,UZBEKISTAN,2002,Male,1177
ASIA,UZBEKISTAN,2002,Female,399
ASIA,UZBEKISTAN,2003,Male,1038
ASIA,UZBEKISTAN,2003,Female,379
ASIA,UZBEKISTAN,2004,Male,943
ASIA,UZBEKISTAN,2004,Female,308
ASIA,UZBEKISTAN,2005,Male,921
ASIA,UZBEKISTAN,2005,Female,300
ASIA,UZBEKISTAN,2009,Male,1024
ASIA,UZBEKISTAN,2009,Female,376
ASIA,UZBEKISTAN,2010,Male,1011
ASIA,UZBEKISTAN,2010,Female,453
ASIA,UZBEKISTAN,2011,Male,1123
ASIA,UZBEKISTAN,2011,Female,517
ASIA,UZBEKISTAN,2012,Male,1220
ASIA,UZBEKISTAN,2012,Female,615
ASIA,UZBEKISTAN,2013,Male,1322
ASIA,UZBEKISTAN,2013,Female,628
ASIA,UZBEKISTAN,2014,Male,1408
ASIA,UZBEKISTAN,2014,Female,690
ASIA,UZBEKISTAN,2015,Male,1598
ASIA,UZBEKISTAN,2015,Female,794
ASIA,UZBEKISTAN,2016,Male,1658
ASIA,UZBEKISTAN,2016,Female,809
ASIA,UZBEKISTAN,2017,Male,1616
ASIA,UZBEKISTAN,2017,Female,801
ASIA,UZBEKISTAN,2018,Male,1467
ASIA,UZBEKISTAN,2018,Female,811
ASIA,UZBEKISTAN,2019,Male,1446
ASIA,UZBEKISTAN,2019,Female,872
AMERICA,SAINT VINCENT AND THE GRENADINES,1995,Male,7
AMERICA,SAINT VINCENT AND THE GRENADINES,1995,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,1996,Male,7
AMERICA,SAINT VINCENT AND THE GRENADINES,1996,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,1997,Male,3
AMERICA,SAINT VINCENT AND THE GRENADINES,1997,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,1998,Male,10
AMERICA,SAINT VINCENT AND THE GRENADINES,1998,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,1999,Male,6
AMERICA,SAINT VINCENT AND THE GRENADINES,1999,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2000,Male,5
AMERICA,SAINT VINCENT AND THE GRENADINES,2000,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2001,Male,7
AMERICA,SAINT VINCENT AND THE GRENADINES,2001,Female,1
